USER,12660044233019,ENTER
REQ,12660044248358,12660044332456,12660144420003,100171645,OK
REQ,12660144579844,12660144639085,12660244744957,100165113,OK
REQ,12660244895480,12660244983305,12660345079488,100184008,OK
REQ,12660345233207,12660345295664,12660445387790,100154583,OK
REQ,12660445526671,12660445592305,12660545686975,100160304,OK
REQ,12660545769971,12660545818272,12660645906831,100136860,OK
REQ,12660645984687,12660646031685,12660746119523,100134836,OK
REQ,12660746253304,12660746318216,12660846416243,100162939,OK
REQ,12660846534906,12660846590080,12660946676044,100141138,OK
REQ,12660946797282,12660946849921,12661046931657,100134375,OK
USER,12661047062162,EXIT
