USER,12884489124072,ENTER
REQ,12884488519702,12884489277260,12884589698224,101178522,OK
USER,12884590039044,EXIT
USER,12885488968523,ENTER
REQ,12885488519702,12885489108105,12885589229025,100709323,OK
USER,12885589523539,EXIT
USER,12886488966573,ENTER
REQ,12886488519702,12886489096116,12886589224410,100704708,OK
USER,12886589458590,EXIT
USER,12887489061404,ENTER
REQ,12887488519702,12887489185227,12887589413438,100893736,OK
USER,12887589683646,EXIT
USER,12888488900635,ENTER
REQ,12888488519702,12888489015461,12888589126432,100606730,OK
USER,12888589360171,EXIT
USER,12889488938690,ENTER
REQ,12889488519702,12889489081569,12889589623260,101103558,OK
USER,12889589933453,EXIT
USER,12890489294433,ENTER
REQ,12890488519702,12890489408257,12890589500833,100981131,OK
USER,12890589755232,EXIT
USER,12891488909072,ENTER
REQ,12891488519702,12891489031863,12891589124770,100605068,OK
USER,12891589314697,EXIT
USER,12892488877787,ENTER
REQ,12892488519702,12892488999105,12892589104014,100584312,OK
USER,12892589374773,EXIT
